id,firststatusID,laststatusID,points
325,12245,13579,0
326,12258,13581,0
327,12226,13582,0
328,12231,13583,0
329,12227,13584,0
330,12267,13585,0
331,12228,13586,0
332,12230,13587,0
333,12229,13588,0
334,12210,13593,0
335,12208,13594,0
336,12206,13595,0
337,12256,13596,0
338,12257,13597,0
339,12318,13599,0
340,12316,13600,0
341,12301,13601,0
342,12303,13602,0
343,12304,13604,0
344,12302,13605,0
345,12219,13607,0
346,12305,13608,0
347,12225,13613,0
348,12271,13614,0
349,12311,13615,0
350,12191,13622,0
351,12207,13624,0
352,12282,13625,0
353,12211,13626,0
354,12209,13627,0
355,12058,13630,-6
356,12068,13632,-6
357,12250,13633,0
358,12272,13634,0
359,12192,13637,0
360,12308,13638,0
361,12307,13639,0
362,12321,13640,0
363,12319,13641,0
364,12193,13642,0
365,12190,13649,0
366,12295,13651,0
367,12293,13652,0
368,12296,13653,0
369,12185,13658,0
370,12388,13863,-6
371,12358,13883,-6
372,12377,13919,-6
373,12348,13953,-6
374,12601,13965,-6
375,12641,13970,-6
376,12866,14109,-6
377,12709,14119,-6
378,12809,14120,-6
379,12867,14141,-6
380,12755,14151,-6
381,12871,14185,-6
382,12869,14187,-6
383,12870,14191,-6
384,13052,14423,-6
385,13094,14433,-6
386,13037,14435,-6
387,13030,14444,-6
388,13029,14445,-6
389,13102,14446,-6
390,13011,14448,-6
391,13056,14455,-6
392,13050,14457,-6
393,13049,14474,-6
394,13013,14491,-6
395,13090,14494,-6
396,13137,14496,-6
397,13310,14710,-6
398,13284,14714,-6
399,13309,14743,-6
400,13280,14755,-6
401,13656,14961,-6
402,13546,15007,-6
403,13942,15210,0
404,13844,15218,-6
405,13944,15219,-6
406,13852,15221,-6
407,13881,15222,-6
408,13906,15223,-6
409,13838,15224,-6
410,13890,15226,-6
411,13831,15227,-6
412,13927,15230,-6
413,13933,15231,-6
414,13869,15232,-6
415,13873,15233,-6
416,13871,15234,-6
417,13922,15236,-6
418,13923,15237,-6
419,13925,15238,-6
420,13904,15239,-6
421,13916,15240,-6
422,13908,15241,-6
423,13902,15242,-6
424,13855,15243,-6
425,13853,15244,-6
426,13835,15245,-6
427,13836,15246,-6
428,13846,15247,-6
429,13845,15248,-6
430,13882,15249,-6
431,13945,15252,0
432,13905,15253,0
433,13860,15254,-6
434,13940,15257,0
435,13868,15258,-6
436,13939,15259,-6
437,13893,15260,-6
438,13912,15261,-6
439,13833,15267,0
440,13859,15268,-6
441,13918,15269,-6
442,13951,15270,-6
443,13879,15271,-6
444,13943,15272,0
445,13913,15273,0
446,13889,15274,-6
447,13875,15275,-6
448,13911,15276,-6
449,13897,15277,-6
450,13899,15278,-6
451,13857,15279,-6
452,13915,15280,0
453,13830,15281,-6
454,13874,15282,-6
455,13891,15283,-6
456,13885,15284,-6
457,13914,15285,-6
458,13854,15286,-6
459,14250,15610,-6
460,14310,15614,-6
461,15001,16272,-6
462,14999,16342,-6
463,15250,16370,-6
464,15229,16398,-6
465,15489,16617,-6
466,15486,16626,-6
467,15487,16631,-6
468,15485,16638,-6
469,15483,16643,-6
470,15482,16663,-6
471,15478,16667,-6
472,15475,16672,-6
473,15522,16680,-6
474,15523,16689,-6
475,15488,16698,-6
476,15484,16714,-6
477,15490,16717,-6
478,15491,16719,-6
479,15480,16769,-6
480,15500,16844,-6
481,15535,16845,-6
482,15526,16846,-6
483,15527,16847,-6
484,15547,16848,-6
485,15497,16849,-6
486,15544,16850,-6
487,15525,16851,-6
488,15499,16852,-6
489,15542,16853,-6
490,15520,16854,-6
491,15514,16855,-6
492,15518,16856,-6
493,15517,16857,-6
494,15512,16858,-6
495,15550,16859,-6
496,15506,16860,-6
497,15502,16861,-6
498,15509,16862,-6
499,15513,16863,-6
500,15510,16864,-6
501,15539,16865,-6
502,15505,16866,-6
503,15504,16867,-6
504,15519,16868,-6
505,15508,16869,-6
506,15954,17142,-6
507,15821,17195,-6
508,16348,17712,-6
509,16556,17885,-6
510,16616,17961,-6
511,16654,18025,-6
512,16673,18050,-6
513,16675,18077,-6
514,16871,18217,-6
515,17113,18237,-6
516,17133,18466,-6
517,17134,18467,-6
518,17120,18468,-6
519,17121,18469,-6
520,17130,18470,-6
521,17110,18471,-6
522,17124,18472,-6
523,17129,18473,-6
524,17123,18474,-6
525,17127,18475,-6
526,17114,18476,-6
527,17135,18477,-6
528,17117,18478,-6
529,17111,18479,-6
530,17132,18480,-6
531,17131,18481,-6
532,17125,18483,-6
533,17122,18484,-6
534,17112,18485,-6
535,17119,18487,-6
536,17115,18488,-6
537,17116,18489,-6
538,17126,18490,-6
539,17128,18491,-6
540,17118,18492,-6
541,17480,18781,-6
542,17528,18782,-6
543,17679,18787,-6
544,17680,18907,-6
545,17559,18947,-6
546,18006,19319,-6
547,18169,19532,-6
548,18225,19606,-6
549,18278,19629,-6
550,18482,19854,-6
551,18738,20097,-6
552,18739,20099,-6
553,18746,20100,-6
554,18752,20101,-6
555,18745,20102,-6
556,18767,20103,-6
557,18750,20104,-6
558,18756,20105,-6
559,18740,20106,-6
560,18748,20107,-6
561,18751,20110,-6
562,18744,20111,-6
563,18742,20112,-6
564,18737,20113,-6
565,18749,20114,-6
566,18760,20115,-6
567,18741,20116,-6
568,18747,20117,-6
569,18743,20119,-6
570,18736,20120,-6
571,18783,20129,-6
572,18791,20146,-6
573,18806,20226,-6
574,18799,20254,-6
575,19088,20403,-6
576,19076,20419,-6
577,19147,20460,-6
578,19279,20600,-6
579,19284,20601,-6
580,19283,20602,-6
581,19287,20631,-6
582,19302,20635,-6
583,19309,20648,-6
584,19298,20650,-6
585,19285,20663,-6
586,19295,20664,-6
587,19644,21065,-6
588,19790,21162,-6
589,19859,21248,-6
590,19858,21345,-6
591,20362,21712,-6
592,20354,21713,-6
593,20382,21741,-6
594,20350,21745,-6
595,20388,21746,-6
596,20364,21747,-6
597,20374,21748,-6
598,20384,21749,-6
599,20369,21750,-6
600,20385,21751,-6
601,20358,21752,-6
602,20372,21753,-6
603,20375,21754,-6
604,20376,21755,-6
605,20377,21756,-6
606,20378,21757,-6
607,20383,21758,-6
608,20368,21759,-6
609,20397,21760,-6
610,20690,22033,-6
611,20682,22047,-6
612,20707,22140,-6
613,20839,22197,-6
614,21276,22614,-6
615,21401,22788,-6
616,21513,22906,-6
617,21597,22927,-6
618,21950,23123,-6
619,21894,23138,-6
620,21822,23156,-6
621,21795,23282,-6
622,21980,23343,-6
623,21981,23344,-6
624,22009,23362,-6
625,22011,23371,-6
626,22031,23388,-6
627,22023,23389,-6
628,22029,23390,-6
629,22555,23770,-6
630,22305,23809,-6
631,22401,23863,-6
632,22450,23900,-12
633,22956,24477,-6
634,23203,24482,-6
635,23212,24592,-6
636,23426,24793,-6
637,23408,24814,-6
638,23617,24986,-6
639,23618,24988,-6
640,23619,24990,-6
641,23621,25009,-6
642,23645,25022,-6
643,23663,25024,-6
644,24072,25330,-6
645,23943,25366,-6
646,23942,25562,-6
647,24531,25871,-6
648,24891,26155,-6
649,24759,26180,-6
650,25060,26450,-6
651,25178,26546,-6
652,25255,26621,-6
653,25282,26627,-6
654,25287,26653,-6
655,25292,26655,-6
656,25815,27060,-6
657,25703,27063,-6
658,26113,27479,-6
659,26406,27801,-6
660,26569,27832,-6
661,26767,28025,-6
662,26678,28157,-6
663,26895,28241,-6
664,26909,28265,-6
665,26927,28273,-6
666,27205,28679,-6
667,27289,28691,-6
668,27745,29115,-6
669,28002,29330,-6
670,28010,29331,-6
671,28071,29390,-6
672,28018,29445,-6
673,28148,29618,-6
674,28154,29619,-6
675,28364,29726,-6
676,28298,29746,-6
677,28525,29875,-6
678,28532,29877,-6
679,28520,29878,-6
680,28528,29883,-6
681,28531,29888,-6
682,28527,29893,-6
683,28530,29897,-6
684,28526,29898,-6
685,28523,29902,-6
686,28521,29903,-6
687,28519,29906,-6
688,28543,29916,-6
689,28551,29919,-6
690,28598,29927,-6
691,28567,29969,-6
692,28625,29989,-6
693,28662,29990,-6
694,28681,30012,-6
695,28784,30041,-6
696,28785,30163,-6
697,28834,30197,-6
698,29060,30423,-6
699,29064,30426,-6
700,29074,30430,-6
701,29069,30432,-6
702,29052,30439,-6
703,29075,30443,-6
704,29092,30445,-6
705,29081,30448,-6
706,29094,30449,-6
707,29084,30450,-6
708,29083,30451,-6
709,29058,30455,-6
710,29377,30760,-6
711,29641,30979,-6
712,29637,31003,-6
713,29644,31007,-6
714,29643,31008,-6
715,29796,31046,-6
716,29679,31188,-6
717,29910,31262,-6
718,29912,31263,-6
719,30180,31538,-6
720,30169,31539,-6
721,30168,31541,-6
722,30176,31542,-6
723,30171,31543,-6
724,30179,31544,-6
725,30185,31547,-6
726,30162,31548,-6
727,30170,31549,-6
728,30172,31550,-6
729,30178,31551,-6
730,30204,31580,-6
731,30395,31772,-6
732,30458,31819,-6
733,30530,31826,-6
734,30719,31827,-6
735,30710,32066,-6
736,30706,32076,-6
737,30717,32086,-6
738,30726,32089,-6
739,30709,32091,-6
740,30721,32092,-6
741,31019,32369,-6
742,31257,32624,-6
743,31279,32636,-6
744,31281,32695,-6
745,31302,32785,-6
746,31545,32907,-6
747,31546,32908,-6
748,31407,32912,-6
749,31804,33160,-6
750,31800,33163,-6
751,31802,33165,-6
752,31807,33166,-6
753,31821,33168,-6
754,31806,33169,-6
755,31812,33171,-6
756,31801,33172,-6
757,31808,33174,-6
758,31814,33178,-6
759,31809,33179,-6
760,32080,33246,-6
761,32065,33448,-6
762,32181,33538,-6
763,32176,33617,-6
764,32336,33703,-6
765,32356,33706,-6
766,32351,33708,-6
767,32341,33714,-6
768,32349,33718,-6
769,32335,33720,-6
770,32817,34065,-6
771,32891,34256,-6
772,32955,34296,-6
773,33182,34299,-6
774,32940,34450,-6
775,33079,34540,-6
776,33093,34541,-6
777,33181,34542,-6
778,33442,34779,-6
779,33437,34780,-6
780,33452,34806,-6
781,33444,34816,-6
782,33539,34838,-6
